gender,age,marital_status,disability,residence_district,father_education_level,mother_education_level,household_members,economic_dependency,insurance_type,chronic_disease,academic_program,current_semester,enrolled_courses,weighted_average,failed_course,class_attendance,career_motivation,career_satisfaction,personal_motivation,professor_motivation,considered_career_change,dropout_thought,transportation,commute_time,internet_access,study_space,library_usage,academic_tutoring,university_support,housing_type,personal_income,family_income,scholarship,currently_working,work_hours,work_affects_studies,study_hours,bullying_experience,demotivation,academic_stress,emotional_support,dropout_reason
Male,18,Single,No,San Martín de Porres,Primary,Secondary,7,Minimal,EsSalud,Yes,Software Engineering,9,6 or more,13–15,No,Almost always,Long you approach choose difference concern will reality field.,Unsatisfied,Yes,Yes,No,No,Public,>1 h,Yes,Yes,Never,Yes,Yes,Shared,<500,>4000,No,No,<10,Yes,<5,No,No,No,Yes,
Female,28,Married,No,Magdalena del Mar,Secondary,Secondary,2,Do not depend,SIS,No,Systems Engineering,10,3,13–15,No,Almost always,Wide follow American fish write.,Satisfied,No,No,No,No,Walking,<30 min,Yes,No,Regularly,Yes,Yes,Rented,0,2000–4000,No,Yes,<10,Yes,<5,No,Yes,Yes,No,
Male,23,Single,No,Ate,Secondary,University,1,Do not depend,Private,Yes,Software Engineering,2,4–5,13–15,Yes,Almost always,Down serious feeling or keep cover.,Very unsatisfied,Yes,No,No,Yes,Public,<30 min,Yes,Yes,Never,No,Yes,Owned,0,<1000,Yes,No,<10,No,5–10,No,No,Yes,No,Southern draw movie bad anyone lay single magazine important prove radio.
Male,19,Single,No,Santa Anita,Technical,Secondary,5,Total,EsSalud,Yes,Software Engineering,2,4–5,13–15,No,Always,Well dark employee child wrong memory family.,Satisfied,No,Yes,Yes,No,Private,30–60 min,Yes,Yes,Sometimes,No,Yes,Rented,0,1000–2000,No,No,<10,No,<5,Yes,No,No,No,
Female,22,Single,No,Carabayllo,Technical,Secondary,3,Partial,SIS,No,Systems Engineering,6,4–5,10–12,No,Almost always,Even way oil room themselves network early event front.,Unsatisfied,No,No,No,No,Public,<30 min,Yes,Yes,Regularly,Yes,No,Owned,0,>4000,No,No,<10,No,<5,No,No,No,No,
Male,27,Single,No,Lurín,University,Secondary,4,Total,Private,Yes,Software Engineering,6,4–5,10–12,Yes,Always,Money and leader lawyer capital.,Satisfied,No,Yes,No,No,Public,30–60 min,No,Yes,Sometimes,No,No,Owned,0,1000–2000,No,No,<10,Yes,5–10,No,Yes,No,No,
Male,17,Single,No,La Molina,Secondary,Primary,2,Partial,EsSalud,No,Systems Engineering,5,4–5,<10,Yes,Always,Government join reality kitchen then dark.,Very satisfied,Yes,Yes,No,No,Private,<30 min,Yes,Yes,Sometimes,Yes,No,Owned,0,1000–2000,Yes,Yes,<10,No,<5,No,No,No,Yes,
Female,19,Single,No,Ate,Secondary,Secondary,4,Partial,Private,Yes,Software Engineering,6,6 or more,16+,No,Always,Security interview beat toward true national effort contain tree before.,Unsatisfied,Yes,Yes,Yes,No,Public,>1 h,Yes,Yes,Never,Yes,Yes,Shared,0,1000–2000,No,No,>20,Yes,5–10,No,No,No,Yes,
Male,34,Married,No,San Martín de Porres,Secondary,Secondary,1,Total,None,No,Software Engineering,8,6 or more,13–15,No,Sometimes,Case perform almost back weight director speak.,Very satisfied,Yes,Yes,Yes,No,Public,30–60 min,Yes,Yes,Sometimes,No,Yes,Shared,0,1000–2000,No,Yes,<10,Yes,<5,No,No,No,No,
Female,23,Single,Yes,San Martín de Porres,Primary,Secondary,2,Minimal,SIS,No,Software Engineering,3,3,<10,No,Almost always,Explain picture product window find member new everyone move page.,Unsatisfied,Yes,Yes,Yes,No,Private,<30 min,Yes,Yes,Regularly,No,Yes,Shared,0,<1000,No,No,<10,Yes,<5,No,Yes,No,No,
Female,31,Single,No,San Isidro,Secondary,Primary,4,Do not depend,EsSalud,No,Software Engineering,6,3,10–12,Yes,Always,Food civil author father.,Satisfied,Yes,Yes,No,No,Public,<30 min,Yes,Yes,Never,No,No,Rented,<500,2000–4000,No,No,>20,No,5–10,No,Yes,No,No,
Male,31,Single,No,Santiago de Surco,Secondary,Secondary,5,Partial,EsSalud,No,Systems Engineering,4,4–5,10–12,Yes,Always,Parent part without skin partner only age.,Unsatisfied,Yes,No,Yes,No,Public,30–60 min,Yes,Yes,Sometimes,No,Yes,Owned,0,1000–2000,No,No,<10,No,5–10,No,No,Yes,Yes,
Male,34,Single,No,Independencia,Technical,Secondary,7,Minimal,EsSalud,No,Software Engineering,2,6 or more,10–12,Yes,Always,Sense between expect how.,Satisfied,Yes,Yes,Yes,No,Public,30–60 min,Yes,Yes,Regularly,Yes,Yes,Rented,0,>4000,No,No,<10,Yes,5–10,No,No,No,No,
Female,21,Single,No,Carabayllo,Primary,Secondary,7,Minimal,EsSalud,No,Systems Engineering,3,4–5,13–15,Yes,Sometimes,Describe lawyer less yourself black into sure car.,Satisfied,Yes,No,No,No,Public,>1 h,Yes,Yes,Sometimes,No,Yes,Rented,0,<1000,No,No,>20,Yes,5–10,No,Yes,Yes,No,
Male,20,Single,No,Chaclacayo,Secondary,University,2,Total,EsSalud,No,Software Engineering,1,6 or more,13–15,No,Always,About direction specific account art look bit week have.,Unsatisfied,Yes,No,No,Yes,Walking,30–60 min,No,Yes,Regularly,No,No,Shared,<500,1000–2000,No,No,10–20,No,5–10,Yes,No,Yes,No,Mouth book stay draw suggest at candidate according nice.
Male,18,Single,No,Los Olivos,Secondary,Primary,1,Partial,EsSalud,No,Software Engineering,1,4–5,13–15,No,Always,City road condition size value society green law thousand enjoy.,Satisfied,No,Yes,No,No,Public,>1 h,Yes,Yes,Sometimes,Yes,Yes,Owned,0,2000–4000,No,No,>20,Yes,<5,No,Yes,Yes,Yes,
Female,34,Single,No,Surquillo,University,Postgraduate,4,Total,EsSalud,No,Software Engineering,3,4–5,13–15,No,Almost always,But little still cell myself start color bring economic this.,Unsatisfied,Yes,No,No,No,Public,30–60 min,Yes,Yes,Regularly,No,No,Rented,<500,>4000,No,No,<10,No,<5,No,Yes,Yes,Yes,
Male,25,Single,No,Pachacámac,Secondary,Secondary,6,Partial,SIS,No,Software Engineering,3,4–5,13–15,No,Almost always,Here sometimes who high bed prepare.,Very unsatisfied,Yes,Yes,Yes,No,Public,>1 h,Yes,Yes,Never,No,Yes,Shared,0,<1000,No,No,10–20,No,5–10,No,Yes,Yes,No,
Male,30,Single,Yes,Breña,Primary,Postgraduate,3,Total,SIS,No,Software Engineering,1,3,13–15,No,Almost always,Often box focus evening.,Satisfied,No,Yes,No,No,Public,<30 min,Yes,Yes,Sometimes,No,No,Owned,500–1000,2000–4000,No,Yes,10–20,Yes,5–10,No,Yes,Yes,No,
Male,30,Single,No,San Borja,Postgraduate,University,4,Total,EsSalud,No,Systems Engineering,4,6 or more,13–15,Yes,Almost always,Meet low rock alone society decide skill.,Very satisfied,No,No,Yes,No,Public,<30 min,Yes,Yes,Regularly,No,Yes,Rented,500–1000,<1000,No,Yes,<10,Yes,<5,No,No,Yes,Yes,
Male,21,Single,No,Lince,Secondary,Postgraduate,6,Total,Private,Yes,Software Engineering,9,4–5,13–15,No,Sometimes,Mention eye benefit weight great.,Very satisfied,Yes,Yes,No,No,Public,30–60 min,Yes,No,Regularly,No,Yes,Rented,<500,<1000,No,No,<10,Yes,>10,No,No,No,No,
Female,34,Single,No,Pucusana,Secondary,Secondary,4,Partial,EsSalud,Yes,Systems Engineering,8,3,13–15,Yes,Always,Everybody indeed own certainly both both middle.,Very satisfied,Yes,Yes,Yes,No,Public,>1 h,Yes,Yes,Never,No,Yes,Owned,<500,>4000,No,Yes,10–20,No,<5,No,Yes,Yes,No,
Female,30,Single,No,Barranco,Primary,University,1,Partial,SIS,Yes,Software Engineering,10,4–5,16+,No,Never,Real admit usually perform true community science where throw drive.,Satisfied,Yes,No,No,No,Public,<30 min,Yes,Yes,Sometimes,No,Yes,Shared,0,<1000,No,No,<10,No,5–10,No,No,Yes,Yes,
Female,29,Single,No,Chorrillos,Secondary,Secondary,6,Partial,None,Yes,Software Engineering,1,4–5,13–15,Yes,Sometimes,Book may effect consider lawyer crime concern bed.,Very satisfied,No,No,No,No,Walking,<30 min,Yes,Yes,Sometimes,Yes,Yes,Shared,500–1000,1000–2000,No,No,<10,Yes,5–10,No,No,No,No,
Male,23,Single,No,Jesús María,Secondary,Primary,3,Minimal,EsSalud,No,Software Engineering,4,4–5,10–12,No,Always,Sort party should difference exactly skill worry style.,Satisfied,No,Yes,Yes,No,Private,<30 min,Yes,Yes,Regularly,No,No,Rented,0,1000–2000,No,No,<10,No,5–10,No,Yes,No,No,
Male,20,Single,No,San Luis,University,Technical,6,Total,SIS,No,Systems Engineering,7,4–5,16+,No,Always,Actually feeling region line might sense finally.,Satisfied,Yes,Yes,Yes,No,Walking,30–60 min,Yes,Yes,Regularly,No,No,Owned,<500,>4000,No,No,10–20,Yes,>10,No,No,No,Yes,
Male,18,Single,No,San Borja,Technical,Secondary,7,Partial,SIS,No,Software Engineering,3,4–5,10–12,Yes,Sometimes,Worker or weight officer production how task dinner subject measure.,Unsatisfied,No,Yes,Yes,No,Private,<30 min,Yes,Yes,Sometimes,Yes,No,Rented,0,1000–2000,No,Yes,<10,No,<5,No,No,Yes,No,
Male,25,Single,No,Lima Cercado,Secondary,Secondary,6,Do not depend,EsSalud,No,Software Engineering,2,4–5,13–15,No,Always,Government expert only civil various likely pick.,Satisfied,Yes,No,No,No,Private,>1 h,Yes,Yes,Sometimes,No,No,Rented,0,1000–2000,No,No,>20,No,<5,No,Yes,No,Yes,
Male,23,Single,No,Surquillo,Primary,University,4,Minimal,SIS,No,Software Engineering,3,4–5,13–15,No,Always,Where him quite more suffer garden trial fly guess wonder tend.,Satisfied,Yes,No,No,No,Public,30–60 min,Yes,Yes,Regularly,No,No,Dormitory,500–1000,2000–4000,No,Yes,>20,No,<5,No,No,No,Yes,
Male,21,Single,No,Breña,Secondary,Secondary,1,Total,SIS,Yes,Software Engineering,4,4–5,13–15,No,Almost always,Ability somebody stuff husband local beautiful option would.,Unsatisfied,Yes,No,Yes,No,Public,<30 min,Yes,Yes,Sometimes,Yes,No,Owned,500–1000,1000–2000,No,No,>20,No,5–10,No,No,No,Yes,
Male,20,Single,No,Comas,Secondary,University,6,Partial,SIS,No,Software Engineering,2,4–5,10–12,Yes,Almost always,Truth they model scene pull reveal expert.,Very satisfied,Yes,Yes,No,Yes,Public,30–60 min,Yes,No,Regularly,No,No,Shared,0,<1000,No,Yes,10–20,Yes,5–10,No,No,No,No,Quality house too available there hand natural out stand current one.
Male,21,Single,No,Surquillo,Primary,University,2,Partial,SIS,No,Software Engineering,7,6 or more,16+,No,Always,Head later order someone out all.,Satisfied,Yes,No,No,No,Walking,<30 min,Yes,Yes,Never,Yes,No,Rented,0,1000–2000,No,Yes,10–20,Yes,5–10,No,No,No,No,
Female,29,Single,No,Ate,Secondary,Primary,5,Total,None,No,Systems Engineering,4,4–5,16+,No,Sometimes,Institution myself civil a interest religious look plan north middle.,Satisfied,Yes,No,Yes,No,Public,<30 min,No,Yes,Never,No,Yes,Owned,0,2000–4000,No,No,<10,Yes,>10,No,No,No,No,
Male,26,Married,No,Villa María del Triunfo,Secondary,Primary,1,Partial,SIS,No,Software Engineering,6,3,10–12,Yes,Almost always,Involve next group dog state.,Satisfied,Yes,Yes,Yes,No,Public,<30 min,Yes,No,Never,No,Yes,Rented,<500,1000–2000,No,No,10–20,No,>10,No,No,No,Yes,
Male,17,Single,No,Los Olivos,Primary,University,1,Total,EsSalud,Yes,Software Engineering,4,6 or more,16+,No,Always,Short with idea response hear indicate.,Satisfied,Yes,No,No,No,Public,30–60 min,Yes,Yes,Regularly,Yes,No,Shared,0,1000–2000,No,No,>20,Yes,<5,Yes,No,Yes,Yes,
Male,26,Single,No,Lince,Primary,Secondary,1,Partial,EsSalud,No,Software Engineering,2,4–5,<10,No,Always,Simply very spring eight build guy.,Very satisfied,Yes,Yes,Yes,Yes,Walking,30–60 min,Yes,Yes,Sometimes,No,Yes,Owned,0,>4000,No,Yes,>20,No,<5,Yes,No,No,Yes,Whose fight choose note card leave work imagine model want worry his picture.
Male,24,Single,No,Comas,University,Secondary,3,Total,Private,No,Systems Engineering,4,4–5,10–12,No,Always,Full whatever discuss not sister five close black money.,Satisfied,Yes,Yes,No,No,Public,<30 min,No,Yes,Regularly,No,Yes,Dormitory,0,<1000,No,No,>20,No,<5,No,No,Yes,No,
Male,27,Single,Yes,Rímac,Secondary,University,4,Total,SIS,No,Systems Engineering,2,4–5,13–15,No,Sometimes,Out indeed training produce attorney ok if under popular.,Very satisfied,Yes,No,No,Yes,Private,30–60 min,Yes,Yes,Sometimes,Yes,Yes,Dormitory,0,1000–2000,No,No,10–20,No,5–10,No,No,No,No,Commercial attack relate fire morning report nor fall.
Female,34,Married,No,La Molina,Technical,Primary,5,Partial,SIS,No,Software Engineering,3,4–5,10–12,Yes,Almost always,Voice information foot which Congress ability little during among maintain.,Satisfied,No,No,Yes,No,Public,30–60 min,Yes,Yes,Sometimes,Yes,Yes,Owned,0,2000–4000,No,Yes,10–20,Yes,5–10,No,Yes,No,Yes,
Female,19,Single,No,Puente Piedra,Technical,Technical,3,Total,EsSalud,Yes,Software Engineering,9,4–5,13–15,Yes,Almost always,First past prepare item population student less budget view travel.,Satisfied,Yes,No,Yes,Yes,Public,>1 h,Yes,No,Sometimes,No,Yes,Owned,0,1000–2000,Yes,Yes,10–20,Yes,5–10,No,No,No,No,Trouble life not space democratic current win when institution culture as most.
Male,20,Single,No,San Luis,Primary,Primary,1,Partial,EsSalud,No,Software Engineering,3,6 or more,10–12,No,Always,Able course care certain everybody.,Satisfied,No,Yes,No,No,Public,<30 min,Yes,Yes,Regularly,No,Yes,Rented,<500,1000–2000,Yes,Yes,<10,Yes,<5,No,No,No,No,
Female,30,Married,No,Villa El Salvador,Secondary,Primary,4,Partial,SIS,No,Systems Engineering,4,3,13–15,Yes,Always,Professional surface material best of experience change.,Very unsatisfied,No,Yes,Yes,No,Walking,30–60 min,Yes,No,Sometimes,Yes,Yes,Owned,500–1000,1000–2000,No,Yes,>20,Yes,>10,No,No,Yes,Yes,
Male,33,Single,No,San Martín de Porres,Technical,Primary,5,Minimal,SIS,No,Software Engineering,8,3,13–15,No,Sometimes,Style data sign nothing should speak way bank.,Unsatisfied,No,Yes,No,Yes,Public,30–60 min,Yes,No,Sometimes,No,No,Shared,0,<1000,Yes,No,<10,Yes,5–10,Yes,No,No,No,Three successful reflect various gun data hundred next.
Male,34,Single,No,Puente Piedra,Primary,Secondary,4,Partial,Private,No,Software Engineering,9,6 or more,13–15,Yes,Always,Prepare purpose pressure war write evidence.,Satisfied,Yes,No,Yes,No,Public,<30 min,Yes,No,Sometimes,Yes,No,Shared,500–1000,<1000,No,Yes,10–20,Yes,<5,No,No,Yes,No,
Female,22,Single,No,Chaclacayo,Primary,Primary,3,Partial,EsSalud,Yes,Systems Engineering,4,6 or more,13–15,No,Sometimes,Teacher manager dog cultural listen onto couple sell work develop.,Very satisfied,Yes,No,No,No,Public,<30 min,Yes,No,Sometimes,No,Yes,Owned,0,1000–2000,No,No,<10,Yes,<5,No,Yes,No,No,
Male,30,Single,No,San Luis,Primary,Secondary,1,Partial,None,No,Software Engineering,4,4–5,10–12,No,Never,Strategy find production task can end Mr.,Satisfied,No,Yes,Yes,No,Public,<30 min,Yes,Yes,Regularly,No,No,Owned,0,1000–2000,No,No,<10,Yes,5–10,No,No,Yes,Yes,
Female,29,Single,No,Miraflores,Technical,Technical,5,Total,Private,No,Software Engineering,7,4–5,16+,No,Almost always,Though police agreement yeah anything base that share institution.,Very unsatisfied,Yes,No,No,Yes,Public,<30 min,Yes,Yes,Sometimes,Yes,No,Shared,<500,2000–4000,No,No,<10,No,>10,No,No,No,No,Way medical detail should boy book.
Male,27,Single,No,El Agustino,University,Primary,7,Minimal,None,No,Software Engineering,8,3,13–15,No,Always,Whole about hospital many third its fight.,Satisfied,No,No,Yes,No,Public,<30 min,Yes,No,Sometimes,Yes,Yes,Rented,>1000,<1000,No,No,10–20,No,5–10,No,No,No,Yes,
Male,17,Married,No,San Juan de Lurigancho,Technical,Secondary,2,Partial,EsSalud,No,Systems Engineering,1,4–5,13–15,Yes,Almost always,Project tough else whatever article.,Satisfied,Yes,No,No,No,Public,30–60 min,Yes,Yes,Sometimes,No,Yes,Owned,0,2000–4000,No,No,10–20,No,>10,No,No,No,Yes,
Male,21,Single,No,Santiago de Surco,Secondary,University,3,Partial,EsSalud,No,Systems Engineering,4,4–5,13–15,No,Always,Investment image together much sing manage.,Satisfied,Yes,Yes,No,No,Public,<30 min,Yes,Yes,Sometimes,Yes,Yes,Owned,500–1000,>4000,No,No,>20,No,<5,No,No,No,Yes,
Male,28,Single,No,Ancón,Technical,Postgraduate,3,Total,SIS,No,Systems Engineering,5,4–5,10–12,No,Almost always,By reality seven understand girl raise red.,Very satisfied,No,No,No,Yes,Public,<30 min,Yes,Yes,Never,Yes,Yes,Owned,0,<1000,Yes,No,>20,No,5–10,No,Yes,No,Yes,Let range tell candidate often consumer modern officer.
Female,33,Single,No,Miraflores,Secondary,Primary,1,Total,Private,No,Software Engineering,8,4–5,13–15,Yes,Almost always,Daughter me way partner education short special.,Satisfied,Yes,Yes,Yes,No,Public,30–60 min,No,Yes,Regularly,Yes,Yes,Owned,0,1000–2000,No,No,10–20,Yes,5–10,No,No,No,Yes,
Female,21,Single,No,La Molina,Secondary,Secondary,2,Minimal,EsSalud,No,Software Engineering,6,3,13–15,No,Sometimes,Increase authority bring federal with without help tree.,Satisfied,No,No,No,No,Public,>1 h,Yes,Yes,Sometimes,No,No,Owned,0,>4000,No,No,>20,No,<5,No,Yes,Yes,Yes,
Female,17,Single,No,Rímac,Technical,Secondary,2,Partial,None,No,Software Engineering,4,4–5,16+,Yes,Always,Level around throughout mission.,Very unsatisfied,No,No,No,No,Private,30–60 min,Yes,Yes,Sometimes,Yes,Yes,Owned,<500,>4000,No,No,<10,No,5–10,No,No,Yes,Yes,
Male,23,Single,No,Barranco,University,Secondary,4,Do not depend,SIS,No,Systems Engineering,1,3,10–12,No,Always,Learn live east suddenly her on.,Satisfied,Yes,Yes,Yes,No,Walking,30–60 min,Yes,Yes,Sometimes,Yes,No,Rented,<500,2000–4000,No,Yes,<10,No,<5,No,Yes,Yes,No,
Male,30,Single,No,Puente Piedra,Primary,Secondary,6,Partial,Private,No,Systems Engineering,6,3,10–12,No,Almost always,Mr owner act need whole baby.,Satisfied,No,Yes,No,No,Public,>1 h,Yes,Yes,Sometimes,Yes,No,Dormitory,0,1000–2000,No,No,10–20,Yes,<5,No,No,No,No,
Male,17,Single,No,Ancón,Technical,Primary,3,Minimal,None,No,Systems Engineering,5,3,13–15,No,Sometimes,Song positive walk fund last hot group.,Very satisfied,No,Yes,Yes,No,Public,30–60 min,Yes,Yes,Regularly,Yes,No,Owned,500–1000,>4000,No,Yes,10–20,Yes,<5,Yes,No,No,Yes,
Female,26,Single,No,San Martín de Porres,Primary,University,1,Minimal,EsSalud,No,Software Engineering,7,4–5,13–15,No,Sometimes,Buy stock during themselves low manage prove up foreign.,Satisfied,Yes,Yes,No,No,Walking,30–60 min,Yes,Yes,Sometimes,Yes,No,Shared,500–1000,<1000,Yes,Yes,<10,Yes,>10,No,No,No,Yes,
Male,23,Single,No,Rímac,Secondary,Secondary,5,Partial,EsSalud,No,Systems Engineering,8,4–5,10–12,No,Always,When enjoy management lead final member stock.,Satisfied,Yes,Yes,Yes,Yes,Public,<30 min,Yes,No,Sometimes,No,No,Shared,0,<1000,No,No,10–20,Yes,<5,No,No,No,Yes,Three add field continue performance exactly cover investment eat sell space gas best parent.
Male,30,Single,No,San Borja,Secondary,Secondary,6,Total,None,Yes,Software Engineering,9,6 or more,13–15,No,Sometimes,Agent adult community no election reality color easy exist number.,Satisfied,No,No,No,No,Public,30–60 min,Yes,Yes,Regularly,Yes,Yes,Shared,<500,<1000,Yes,No,>20,No,5–10,No,No,No,Yes,
Male,30,Married,No,Jesús María,University,Secondary,5,Total,SIS,No,Systems Engineering,1,4–5,16+,No,Almost always,Space hour night page middle from.,Very unsatisfied,No,No,No,Yes,Public,<30 min,Yes,Yes,Regularly,Yes,Yes,Dormitory,500–1000,<1000,No,Yes,<10,Yes,5–10,No,Yes,Yes,Yes,Treatment wide open join around color.
Male,26,Married,No,Jesús María,Secondary,Primary,4,Total,Private,No,Software Engineering,8,4–5,13–15,No,Always,Open like individual end job morning reflect growth though.,Satisfied,Yes,Yes,No,No,Public,<30 min,Yes,Yes,Never,No,No,Rented,0,2000–4000,No,No,>20,No,5–10,No,No,No,Yes,
Female,25,Single,No,San Borja,Secondary,Primary,5,Partial,None,No,Systems Engineering,1,3,13–15,No,Always,Beyond majority as happen west reality sell act.,Satisfied,No,No,Yes,No,Walking,>1 h,Yes,Yes,Regularly,No,No,Owned,0,1000–2000,No,Yes,10–20,No,<5,Yes,No,No,Yes,
Female,26,Single,No,Comas,Secondary,Secondary,5,Do not depend,SIS,Yes,Systems Engineering,6,4–5,13–15,No,Almost always,Similar pressure shoulder between light.,Very unsatisfied,No,No,No,No,Private,<30 min,Yes,Yes,Regularly,No,No,Shared,0,1000–2000,Yes,No,>20,No,<5,No,No,No,No,
Male,17,Single,No,Ancón,Secondary,Primary,1,Total,None,No,Software Engineering,6,6 or more,10–12,Yes,Sometimes,List training usually hundred eat outside level.,Satisfied,Yes,Yes,No,No,Public,<30 min,Yes,No,Regularly,Yes,No,Dormitory,0,1000–2000,No,No,<10,Yes,<5,No,Yes,Yes,Yes,
Female,23,Single,No,Chaclacayo,Technical,Technical,7,Minimal,EsSalud,No,Software Engineering,8,4–5,10–12,Yes,Always,Operation bar style energy his make as improve above leader.,Satisfied,No,Yes,No,No,Public,>1 h,Yes,Yes,Sometimes,No,Yes,Owned,<500,>4000,Yes,Yes,<10,Yes,<5,No,No,Yes,Yes,
Female,28,Single,No,Comas,Secondary,Primary,7,Partial,EsSalud,No,Software Engineering,7,3,13–15,No,Sometimes,Name environment public trip firm occur imagine challenge.,Satisfied,Yes,No,No,No,Public,30–60 min,Yes,Yes,Regularly,No,Yes,Owned,0,<1000,No,No,10–20,No,<5,No,No,Yes,No,
Male,33,Single,No,Santa Anita,Primary,Secondary,2,Total,EsSalud,No,Systems Engineering,4,6 or more,13–15,No,Sometimes,Better against cut hard democratic ball.,Very unsatisfied,Yes,No,Yes,No,Public,<30 min,Yes,Yes,Regularly,No,No,Shared,0,1000–2000,No,No,<10,Yes,<5,No,No,Yes,No,
Female,29,Single,No,Lurín,Primary,Secondary,2,Do not depend,EsSalud,No,Software Engineering,5,4–5,13–15,Yes,Almost always,Environmental total moment take.,Satisfied,Yes,Yes,Yes,No,Public,<30 min,No,Yes,Regularly,No,No,Dormitory,500–1000,2000–4000,Yes,Yes,10–20,Yes,<5,No,No,No,No,
Female,25,Single,No,Comas,Primary,Secondary,2,Total,EsSalud,Yes,Software Engineering,9,3,16+,No,Sometimes,Such office room work style such.,Very unsatisfied,No,No,No,No,Private,<30 min,Yes,Yes,Regularly,Yes,No,Owned,<500,1000–2000,Yes,No,10–20,No,5–10,No,Yes,No,No,
Female,29,Single,No,Lurín,Primary,Secondary,5,Total,Private,No,Software Engineering,2,6 or more,13–15,No,Almost always,Population during firm standard policy.,Satisfied,Yes,Yes,Yes,Yes,Public,30–60 min,Yes,Yes,Sometimes,Yes,No,Owned,<500,1000–2000,Yes,No,>20,No,5–10,No,No,No,Yes,Provide difficult speech eat still various seven cover finally.
